TBESG - Translators Brief lexicon of Extended Strongs for Greek - STEPBible.org CC BY
See also:
TFLSJ - Translators Formatted full LSJ Bible lexicon 0-5624 - STEPBible.org CC BY	
TFLSJ - Translators Formatted full LSJ Bible lexicon extra - STEPBible.org CC BY
=======================================================
Lexicons for the tagged texts used by STEPBible, based on BHS for OT and LSJ for NT, backwardly compatible for any tagging based on Strong numbers. 
Extended Strongs for Greek is backwardly compatible with original Strong and NASB, and extended to include all NT variants and LXX + variants.
The Brief lexicon is based on the Abbott-Smith definitions, and is edited to conform with the extended Strongs. For a few words where Abbott-Smith lacks a definition, one is supplied  from MiddleLiddel (MD) or STEPBible scholars
The Full lexicon is edited from the Full LSJ by Tyndale House scholars, formatted to make it easy to read, with expansion of abbreviations and revealing examples from Greek literature on hover over dates of the earliest source (added by Tyndale House)

	==============================================================												
	Data created by www.STEPBible.org based on work at  Tyndale House Cambridge (CC BY 4.0)												
	==============================================================												
	This licence allows you to:												
	* Include any part of this data in software or publications without requesting permission 												
	* Download the data and reformat it for your application, without changing the data												
	* Send any proposed corrections to STEPBibleATGmail.com. to be verified 												
	  (You MAY make changes yourself, but you should include a note of changes that can be viewed by those who use your new data)												
	* Refer others to github.com/STEPBible as the source of the data. Please do not redistribute it yourself. 												
	  (Updates or corrections are easier to implement when the data is distributed from a single source)												
	* We'd love to hear about your project when you make it available. Email us at STEPBibleATGmail.com.												
	==============================================================												



Fields: 
=====

* EStrong# = Extended Strong's Numbers: 
 - G0001 - G5624 Strongs numbers from original set made by Strong for Greek behind the KJV  
   (G3203-G3302 which aren't used for some reason)
 - G5627 - G5799 = Greek morphology codes  (these numbers aren't used in this lexicon) 
 - G5800 - G5893 = Greek Synonyms - see http://studybible.info/strongs/G5800  (these numbers aren't used in this lexicon) 
 - G6000 - G6090 = Extra Strongs Numbers in NASB mainly for variants not known to Strong. (they remain the same so it is backward-compatible with NASB) 
 - G6100 - G9979 = Extra Greek from Apostolic Bible Project mainly for LXX words not found in NT (including Greek names that don't occur in the Hebrew) 
 - G6091 - G6099, G9980 - G9999 = Extra Greek for variants which are not included in NASB or Apostolic Bible  
 - G10000 - 19999 = Greek equivalent of Strongs Hebrew numbers for names and transliterated words eg  Abagtha (H0005) = G10005. When there is a NT equivalent, this is the STEP_LexicalTag
 - G20000 - G20199 = Words where  the Full LSJ entry refers to the LXX, but they are not referred to in the AB tagging because they only occur in non-Protestant canons or in MSS other than Vaticanus (used by AB)

Strong numbers	Three sets of numbers are included: eStrong, dStrong & uStrong. A lexicon or tagging system will normally use only one set, depending on its purpose, though it may be useful to keep both dStrong & uStrong. 
	Any record can be deleted if it does not have  a number for the system that is to be used. Each system has different advantages: 
eStrong#	This is the standard Extended Strongs which conforms with the subdivisions of words in BDB (Brown Driver Brigg's lexicon, largely followed by later lexicons). This was done by OS (OpenScriptures.org)
dStrong	This is STEPBible's Disambiguated Strongs which has separate numbers when a  name is used for different people or places, and when a word has significantly different sub-meanings. See TinyURL.com/DisambiguatedStrongs. 
uStrong	This is STEPBible's Unified Strongs  which has a single number for an individual's various  names, and a single number for a word that has different forms or spellings or that has a Hebrew and Aramaic versions. 

For example: 	Strong used G2264 for all three people in the NT named Herod (the Great, Anitipas and Agrippa I), and a different number for "Herodian" which describes Herod Anitipas. 
	eStrong doesn't divide up any names in the NT (like it does in the OT) because eStrong was created to map Strongs to the Hebrew lexicon BDB. 
	dStrong has a unique number for each person: G2264G, G2264H, G2264I. As in the OT, letters start at G when there is no "a" or "b" etc in eStrongs (which never happens in Greek) 
	uStrong has only one unique number for each individual, so a search for that number finds all the places where that person is mentioned however their name is spelled. 
... see more at:	TinyURL.com/STEP-Disambiguated



$========== PERSON(s)																																					
Herod@Mat.2.1=G2264G	King Herod the Great living at the time of the New Testament	=+			Archelaus@Mat.2.22, Herod@Mat.14.1, Philip@Mat.14.3, Philip@Luk.3.1	>	#A man living at the time of the New Testament, first mentioned at Mat.2.1; <br> father of: Ethnarch Herod Archelaus (G0745), Herod Antipas I (G2264H), Herod Philip I (G5376H), Herod Philip II (G5376I)																														
- Named	Herod@Mat.2.1	G2264G«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.2.1;Mat.2.3;Mat.2.7;Mat.2.12;Mat.2.13;Mat.2.15;Mat.2.16;Mat.2.19;Mat.2.22;Luk.1.5;Act.23.35	Mat.2.1; Mat.2.3; Mat.2.7; Mat.2.12; Mat.2.13; Mat.2.15; Mat.2.16; Mat.2.19; Mat.2.22; Luk.1.5; Act.23.35;																																
$========== PERSON(s)																																					
Herod@Mat.14.1=G2264H	Tetrarch Herod Antipas living at the time of the New Testament	Herod@Mat.2.1 +	Archelaus@Mat.2.22, Philip@Mat.14.3, Philip@Luk.3.1	Herodias@Mat.14.3		>	#Tetrarch Herod Antipas I living at the time of the New Testament, first mentioned at Mat.14.1; <br> son of: Herod 'the Great' (G2264G); <br> brother of: Ethnarch Herod Archelaus (G0745), Herod Philip I (G5376H) and Herod Philip II (G5376I); married to Herodias (G2266G)																														
- Named	Herod@Mat.14.1	G2264H«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.14.1;Mat.14.3;Mat.14.6;Mat.14.6;Mar.6.14;Mar.6.16;Mar.6.17;Mar.6.18;Mar.6.20;Mar.6.21;Mar.6.22;Mar.8.15;Luk.3.1;Luk.3.19;Luk.3.19;Luk.8.3;Luk.9.7;Luk.9.9;Luk.13.31;Luk.23.7;Luk.23.7;Luk.23.8;Luk.23.11;Luk.23.12;Luk.23.15;Act.4.27;Act.13.1	Mat.14.1; Mat.14.3; Mat.14.6a; Mat.14.6b; Mrk.6.14; Mrk.6.16; Mrk.6.17; Mrk.6.18; Mrk.6.20; Mrk.6.21; Mrk.6.22; Mrk.8.15; Luk.3.1; Luk.3.19a; Luk.3.19b; Luk.8.3; Luk.9.7; Luk.9.9; Luk.13.31; Luk.23.7a; Luk.23.7b; Luk.23.8; Luk.23.11; Luk.23.12; Luk.23.15; Act.4.27; Act.13.1;																																
- Group	Herod@Mat.14.1	G2265«G2265=Ἡρωδιανοί	Herodian	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herodian*|reference=Mat.22.16;Mar.3.6;Mar.12.13	Mat.22.16; Mrk.3.6; Mrk.12.13;																																
$========== PERSON(s)																																					
Herod@Act.12.1=G2264I	Tetrarch & King Herod Agrippa I living at the time of the New Testament	=+	Herodias@Mat.14.3		Agrippa@Act.25.13	>	#Tetrarch & King Herod Agrippa I living at the time of the New Testament, first mentioned at Act.12.1; <BR> brother of: Herodias (G2266G); father of: Tetrarch Agrippa II (G0067)																														
- Named	Herod@Act.12.1	G2264I«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Act.12.1;Act.12.6;Act.12.11;Act.12.19;Act.12.20;Act.12.21	Act.12.1; Act.12.6; Act.12.11; Act.12.19; Act.12.20; Act.12.21;																																



* Gloss = a meaning in one word or as few as possible (by Tyndale scholars)

* Greek = unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing. 

* Morph = simple gramatical value of the main word represented as Language:Type-Gender-Extra. 
Language:Type-Gender-Extra. 
Language is A=Aramaic, H=Hebrew, G=Greek and N=Name (which is not language specific). 
Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative, Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb. 
Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)

* Meaning = lexical entry. The Brief lexicon uses Abbot-Smith or MiddleLiddel. The LJS lexicon uses the Full LSJ formatted by Tyndale House, Cambridge. Those without attribution have been added by STEPBible. 
(AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
(ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)

Full LSJ - Liddell-Scott-Jones -  from Perseus, with additional features and corrections by Tyndale House, Cambridge:
 - most abbreviations have been expanded, usually in accordance with the introductions to the lexicons but occasionally made clearer. 
 - dates have been added to authors by Tyndale House, using standard reference works. 
 - coding is added to hide bibliographic data under a link stating the earliest date included in that data. (Note, not all devices work well with tooltips, so consider implementing a clickable option such as http://jsfiddle.net/xaAN3/) 


eStrong	dStrong	uStrong	Greek	Transliteration	Morph	Gloss	Abbott-Smith lexicon (AS), with gaps occationally filled from edited versions of  Middle LSJ 
G0016	G0016 =	G0016	ἀγαθοποιΐα	agathopoiia	G:N-F	doing good	 <b>ἀγαθοποιία</b>, -ας, ἡ <BR /> (ἀγαθοποιός), <BR /><b>well-doing</b>: <ref='1Pe.4.19.'>1Pe.4:19.</ref>†<BR /> (AS)
G0017	G0017 =	G0017	ἀγαθοποιός	agathopoios	G:N-M	doing good	 <b>ἀγαθοποιός</b>, -όν = cl. ἀγαθουργός, <BR /> [in LXX, of a woman who deals pleasantly in order to corrupt, <ref='Sir.42.14'>Sir.42:14</ref> * ;] <BR /><b>doing well, acting rightly</b> (Plut.): <ref='1Pe.2.14'>1Pe.2:14</ref> (Cremer, 8; MM, <i>VGT</i>, see word).†<BR /> (AS)
G0018	G0018 =	G0018	ἀγαθός	agathos	G:A / G:ADV	good	 <b>ἀγαθός</b>, -ή, -όν, <BR /> [in LXX chiefly for טוֹב ;] <BR />in general, <b>good</b>, in physical and in moral sense, used of persons, things, acts, conditions, etc., applied to that which is regarded as "perfect in its kind, so as to produce pleasure and satisfaction, . . . that which, in itself good, is also at once for the good and the advantage of him who comes in contact with it" (Cremer, 3): γῆ, <ref='Luk.8.8'>Luk.8:8;</ref> δένδρον, <ref='Mat.7.18'>Mat.7:18;</ref> καρδία, <ref='Luk.8.15'>Luk.8:15;</ref> δόσις, <ref='Jas.1.17'>Jas.1:17;</ref> μέρις, <ref='Luk.10.42'>Luk.10:42;</ref> ἔργον (frequently in Pl.), <ref='Php.1.6'>Php.1:6;</ref> ἐλπίς, <ref='2Th.2.16'>2Th.2:16;</ref> θησαυρός, <ref='Mat.12.35'>Mat.12:35;</ref> μνεία, <ref='1Th.3.6'>1Th.3:6</ref> (cf. <ref='2Ma.7.20'>2Ma.7:20</ref>); as subst., τὸ ἀ, that which is morally good, beneficial, acceptable to God, <ref='Rom.12.2'>Rom.12:2;</ref> ἐργάζεσθαι τὸ ἀ, <ref='Rom.2.10'>Rom.2:10</ref>, <ref='Eph.4.28'>Eph.4:28</ref>; πράσσειν, <ref='Rom.9.11'>Rom.9:11</ref>, <ref='2Co.5.10'>2Co.5:10</ref>; διώκειν, <ref='1Th.5.15'>1Th.5:15;</ref> μιμεῖσθαι, <ref='3Jn.11'>III Jo 11</ref>; κολλᾶσθαι τῷ ἀ, <ref='Rom.12.9'>Rom.12:9;</ref> ερωτᾶν περὶ τοῦ ἀ., <ref='Mat.19.17'>Mat.19:17;</ref> διάκονος εἰς τὸ ἀ., <ref='Rom.13.4'>Rom.13:4;</ref> τὸ ἀ. σου, <b>thy favour, benefit</b>, Phm 14; pl., τὰ ἀ., of goods, possessions, <ref='Luk.12.18'>Luk.12:18;</ref> of spiritual benefits, <ref='Rom.10.15'>Rom.10:15</ref>, <ref='Heb.9.11; 10.1'>Heb.9:11, 10:1</ref>. ἀ is opposite to πονηρός, <ref='Mat.5.45; 20.5'>Mat.5:45, 20:5</ref>; κακός, <ref='Rom.7.19'>Rom.7:19;</ref> φαῦλος, <ref='Rom.9.11'>Rom.9:11</ref>, <ref='2Co.5.10'>2Co.5:10</ref> (cf. MM, <i>VGT</i>, see word).<BR /> <re><i>SYN.</i>: καλός, δίκαιος. κ. properly refers to <b>goodliness</b> as manifested in form: ἀ. to inner excellence (cf. the cl. καλὸς κἀγαθός and ἐν καρδία κ. καὶ ἀ., <ref='Luk.8.15'>Luk.8:15</ref>). In <ref='Rom.5.7'>Rom.5:7</ref>, where it is contrasted with δ., ἀ. implies a kindliness and attractiveness not necessarily possessed by the δίκαιος, who merely measures up to a high standard of rectitude (cf. ἀγαθωσύνη).</re> (AS)
G0019	G0019 =	G0019	ἀγαθωσύνη	agathōsunē	G:N-F	goodness	 <b>ἀγαθωσύνη</b> (on the termination, see: ἁγιότης, and cf . WH, <i>App</i>., 152; MM, <i>VGT</i>, see word), -ης, ἡ <BR /> (ἀγαθός), [in LXX for טוֹבָה, טוֹב, טוּב, only in Heb. bks. ;] <BR /><b>goodness</b> (representing "the kindlier, as δικαιοσύνη, the sterner element in the ideal character," AE, <i>Eph</i>., 5:9; on its relation to χρηστότης, see Tr., <i>Syn</i>., §lxiii): <ref='Rom.15.14'>Rom.15:14</ref>, <ref='Gal.5.22'>Gal.5:22</ref>, <ref='2Th.1.11'>2Th.1:11</ref>.†<BR /> (AS)
G0020	G0020 =	G0020	ἀγαλλίασις	agalliasis	G:N-F	joy	 <b>ἀγαλλίασις</b>, -εως, ἡ <BR /> (ἀγαλλιάω), [in LXX (most frequently in Pss. and often coupled with εὐφροσύνη, as <ref='Psa.45.15'>Ps 44(45):15</ref>) chiefly for גִּיל ;] <BR /><b>exultation, exuberant joy</b>: <ref='Luk.1.44'>Luk.1:44</ref>, <ref='Act.2.46'>Act.2:46</ref>, <ref='Heb.1.9'>Heb.1:9</ref>, <ref='Jude.24'>Ju 24</ref>; χαρὰ καὶ ἀ., <ref='Luk.1.14'>Luk.1:14</ref> (Cremer, 592).†<BR /> (AS)
G0021	G0021 =	G0021	ἀγαλλιάω	agalliaō	G:V	to rejoice	 <b>ἀγαλλιάω</b>, -ῶ, Hellenistic form of cl. ἀγάλλω, <b>to glorify</b>, mid. -ομαι, <b>to exult in</b>; <BR /> [in LXX (most frequently in Pss.) chiefly for גיל, רנן pi. ;] <BR /><b>to exult, rejoice greatly</b>: before ἐπί, with dative, <ref='Luk.1.47'>Luk.1:47;</ref> with dative mod., <ref='1Pe.1.8'>1Pe.1:8</ref>, <ref='Rev.19.7'>Rev.19:7</ref>. Mid., with same sense: <ref='Mat.5.12'>Mat.5:12</ref>, <ref='Luk.10.21'>Luk.10:21</ref>, <ref='Act.2.26; 16.34'>Act.2:26, 16:34</ref>, <ref='1Pe.4.13'>1Pe.4:13</ref>; before ἵνα, <ref='Jhn.8.56'>Jhn.8:56;</ref> ἐν, <ref='Jhn.5.35'>Jhn.5:35</ref> (1 aor. pass. perh. as mid.; but see Mozley, <i>Psalter</i>, 5), <ref='1Pe.1.6'>1Pe.1:6</ref> (Cremer, 590).†<BR /> (AS)
G0022	G0022 =	G0022	ἄγαμος	agamos	G:N-M/F	unmarried	 <b>ἄ-γαμος</b>, -ον <BR /> [in LXX: <ref='4Ma.16.9'>4Ma.16:9</ref> * ;] <BR /><b>unmarried</b>: <ref='1Co.7.8, 32'>1Co.7:8, 32</ref>; fem. (= cl. ἄνανδρος), ib. 11, 34.†<BR /> (AS)
G0023	G0023 =	G0023	ἀγανακτέω	aganakteō	G:V	be indignant	 <b>ἀγανακτέω</b>, -ῶ (ἄγαν, <b>much</b>, ἄχομαι, <b>to grieve</b>), <BR /> [in LXX: <ref='Wis.5.22; 12.27'>Wis.5:22, 12:27</ref>, Da TH Bel 28, <ref='4Ma.4.21'>4Ma.4:21</ref> * ;] <BR /><b>to be indignant</b>: <ref='Mat.21.15; 26.8'>Mat.21:15, 26:8</ref>, <ref='Mrk.10.14; 14.4'>Mrk.10:14, 14:4</ref>; before περί, <ref='Mat.20.24'>Mat.20:24</ref>, <ref='Mrk.10.41'>Mrk.10:41</ref>; before ὅτι, <ref='Luk.13.14'>Luk.13:14</ref> (see MM, <i>VGT</i>, see word).†<BR /> (AS)
G0024	G0024 =	G0024	ἀγανάκτησις	aganaktēsis	G:N-F	indignation	 <b>ἀγανάκτησις</b>, -εως, ἡ <BR /> (ἀγανακτέω), [in LXX: <ref='Est.18.3'>Est.18:3</ref> א 1 * ;] <BR /><b>indignation</b>: <ref='2Co.7.11'>2Co.7:11</ref> (see MM, <i>VGT</i>, see word).†<BR /> (AS)
G0025	G0025 =	G0025	ἀγαπάω	agapaō	G:V	to love	 <b>ἀγαπάω</b>, -ῶ, <BR /> [in LXX chiefly for אהב ;] <BR /><b>to love</b>, to feel and exhibit esteem and goodwill to a person, to prize and delight in a thing. <BR />__1. <b>Of human affection, to men</b>: τ. πλησίον, <ref='Mat.5.43'>Mat.5:43;</ref> τ. ἐχθρούς, ib. 44; to Christ, <ref='Jhn.8.42'>Jhn.8:42;</ref> to God, <ref='Mat.22.37'>Mat.22:37;</ref> with accusative of thing(s), <ref='Luk.11.43'>Luk.11:43</ref>, <ref='Jhn.12.43'>Jhn.12:43</ref>, <ref='Eph.5.25'>Eph.5:25</ref>, <ref='2Ti.4.8, 10'>II <ref='Tim.4.8'>Tim 4:8</ref>, 10</ref>, <ref='Heb.1.9'>Heb.1:9</ref>, <ref='1Pe.2.17; 3.10'>1Pe.2:17, 3:10</ref>, <ref='2Pe.2.15'>2Pe.2:15</ref>, <ref='1Jn.2.15'>1Jn.2:15</ref>, <ref='Rev.12.11'>Rev.12:11</ref>.<BR /> __2. <b>Of divine love</b>; <BR />__(a) <b>God's love</b>: to men, <ref='Rom.8.37'>Rom.8:37;</ref> to Christ, <ref='Jhn.3.35'>Jhn.3:35;</ref> <BR /> __(b) <b>Christ's love</b>: to men, <ref='Mrk.10.21'>Mrk.10:21;</ref> to God, <ref='Jhn.14.31'>Jhn.14:31;</ref> with cogn. accusative, <ref='Jhn.17.26'>Jhn.17:26</ref>, <ref='Eph.2.4'>Eph.2:4</ref>.<BR /> <re><i>SYN.</i>: φιλέω. From its supposed etymology (Thayer, LS; but see also Boisacq) ἀ. is commonly understood properly to denote love based on esteem (diligo), as distinct from that expressed by φιλέω (amo), spontaneous natural affection, emotional and unreasoning. If this distinction holds, ἀ. is fitly used in NT of Christian love to God and man, the spiritual affection which follows the direction of the will, and which, therefore, unlike that feeling which is instinctive and unreasoned, can be commanded as a duty. (Cf. ἀγάπη, and <i>v</i>. Tr., <i>Syn</i>. §xii; Cremer, 9, 592; and esp. MM, <i>VGT</i>, see word)</re> (AS)
G0026	G0026 =	G0026	ἀγάπη	agapē	G:N-F	love	 <b>ἀγάπη</b>, -ης, ἡ <BR /> [in LXX for אַהֲבָה, which is also rendered by ἀγάπησις and φιλία ;] <BR /> <b>love, goodwill, esteem</b>. Outside of bibl. and eccl. books, there is no clear instance (with Deiss., <i>LAE</i>, 18:4, 70:2, cf. the same writer in <i>Constr. Quar.</i>, ii, 4; and with MM, <i>VGT</i>, see word, cf. Dr. Moulton in <i>Exp. Times</i>, xxvi, 3, 139). In NT, like ἀγαπάω, -ῶ, <BR />__1. <b>Of men's love</b>: <BR />__(a) to one another, <ref='Jhn.13.35'>Jhn.13:35;</ref> <BR /> __(b) to God, <ref='1Jn.2.5.'>1Jn.2:5.</ref><BR /> __2. <b>Of divine love</b>; <BR />__(a) <b>God's love</b>: to men, <ref='Rom.5.8'>Rom.5:8;</ref> to Christ, <ref='Jhn.17.26'>Jhn.17:26;</ref> <BR /> __(b) <b>Christ's love to men</b>: <ref='Rom.8.35.'>Rom.8:35.</ref> <BR /> __3. In pl., <b>love feasts</b>: <ref='Jude.12'>Ju 12</ref> (<i>DB</i>, iii, 157).<BR /> <re><i>SYN.</i>: φιλία. ἀ., signifying properly (see: ἀγαπάω) love which chooses its object, is taken over from LXX, where its connotation is more general, into NT, and there used exclusively to express that spiritual bond of love between God and man and between man and man, in Christ, which is characteristic of Christianity. It is thusdistinct from φιλία, <b>friendship</b> (<ref='Jas.4.4'>Jas.4:4</ref> only), στοργή, <b>natural affection</b> (in NT only in compounds, see: ἄστοργος) and ἔρως, <b>sexual love</b>, which is not used in NT, its place being taken by ἐπιθυμία. (Cf. ἀγαπάω; and see Abbott, <i>Essays</i>, 70f.; <i>DB</i>, vol. i., 555; Cremer, 13, 593; MM, <i>VGT</i>, see word).</re> (AS)
G0027	G0027 =	G0027	ἀγαπητός	agapētos	G:A	beloved	 <b>ἀγαπητός</b>, -ή, -όν <BR /> (ἀγαπάω), [in LXX chiefly for יָתִיד, יָדִיד ;] <BR /><b>beloved</b> (see M, <i>Pr.</i>, 221); <BR />__(a) <b>by God</b>: of Christ, <ref='Mat.3.17'>Mat.3:17;</ref> of men, <ref='Rom.1.7'>Rom.1:7;</ref> <BR /> __(b) <b>by Christians, of one another</b>: <ref='1Co.4.14'>1Co.4:14;</ref> frequently as form of address, <ref='1Co.10.14'>ib. 10:14</ref>; opposite to ἐχθρός, <ref='Rom.11.28'>Rom.11:28</ref> (see AR, <i>Eph.</i>, 229; Cremer, 17; MM, <i>VGT</i>, see word).<BR /> (AS)
G0028	G0028 = the Greek of	H1904	Ἄγαρ	Agar	N:N-F-P	Hagar	 <b>Ἅγαρ</b> (Rec. Ἄ-), ἡ, indecl. (in FlJ, Ἀγάρα, -ης, Heb. הָגָר), <BR /> <b>Hagar</b> (Gen.16): <ref='Gal.4.24,25'>Gal.4:24,25</ref>.†<BR /> (AS)
G0029	G0029 =	G0029	ἀγγαρεύω	angareuō	G:V	to force	 <b>ἀγγαρεύω</b> (from the Persian; cf. Vg. angiare, and the Heb. אִגֶרֶת; on the orthogr., see Bl., §6, 1; M, <i>Pr.</i>, 46), <BR /> <b>to impress</b> into public service, employ a courier; hence, <b>to compel</b> to perform a service (prob. common in the vernac.; cf. Deiss., <i>BS</i>, 86f., MM, <i>Exp.</i>, iv; <i>VGT</i>, see word): <ref='Mat.5.41; 27.32'>Mat.5:41, 27:32</ref>, <ref='Mrk.15.21'>Mrk.15:21</ref>.†<BR /> (AS)
G0030	G0030 =	G0030	ἀγγεῖον	angeion	G:N-N	jar	 <b>ἀγγεῖον</b>, -ου, τό <BR /> (ἄγγος), [in LXX chiefly for כְּלִי ;] <BR /><b>a vessel</b> (see MM, <i>VGT</i>, see word): <ref='Mat.25.4.'>Mat.25:4.</ref>†<BR /> (AS)
G0031	G0031 =	G0031	ἀγγελία	angelia	G:N-F	message	 <b>ἀγγελία</b>, -ας, ἡ <BR /> (ἄγγελος), [in LXX chiefly for שְׁמוּעָה ;] <BR /><b>a message</b>: <ref='1Jo.1.5, 3:11 ('>1Jo.1:5, 3:11 (</ref>Cremer, 18; MM, <i>VGT</i>, see word).†<BR /> (AS)
G0032	G0032G =	G0032G	ἄγγελος	angelos	G:N-M	angel	 <b>ἄγγελος</b>, -ου, ὁ, <BR /> [in LXX chiefly for מַלְאָךְ ;] <BR /> __1. <b>a messenger</b>, <b>one sent</b>: <ref='Mat.11.10'>Mat.11:10</ref>, <ref='Jas.22.25'>Jas.22:25</ref>.<BR /> __2. As in LXX, in the special sense of <b>angel</b>, a spiritual, heavenly being, attendant upon God and employed as his messenger to men, to make known his purposes, as <ref='Luk.1.11'>Luk.1:11</ref>, or to execute them, as <ref='Mat.4.6.'>Mat.4:6.</ref> The ἄ. in <ref='Rev.1.20-2:1'>Rev.1:20-2:1</ref>, al., is variously understood as <BR />__(1) <b>a messenger or delegate, </b><BR /> __(2) <b>a bishop or ruler, </b><BR /> __(3) <b>a guardian angel, </b><BR /> __(4) the prevailing spirit of each church, i.e. the Church itself. (Cf. Swete, <i>Ap</i>)., in l.; DB, iv, 991; Thayer, see word; Cremer, 18; MM, <i>VGT</i>, see word)<BR /> (AS)
G0032	G0032H = a Meaning of	G0032G	ἄγγελος	angelos	G:N-M	angel: messenger	 <b>ἄγγελος</b>, -ου, ὁ, <BR /> [in LXX chiefly for מַלְאָךְ ;] <BR /> __1. <b>a messenger</b>, <b>one sent</b>: <ref='Mat.11.10'>Mat.11:10</ref>, <ref='Jas.22.25'>Jas.22:25</ref>.<BR /> __2. As in LXX, in the special sense of <b>angel</b>, a spiritual, heavenly being, attendant upon God and employed as his messenger to men, to make known his purposes, as <ref='Luk.1.11'>Luk.1:11</ref>, or to execute them, as <ref='Mat.4.6.'>Mat.4:6.</ref> The ἄ. in <ref='Rev.1.20-2:1'>Rev.1:20-2:1</ref>, al., is variously understood as <BR />__(1) <b>a messenger or delegate, </b><BR /> __(2) <b>a bishop or ruler, </b><BR /> __(3) <b>a guardian angel, </b><BR /> __(4) the prevailing spirit of each church, i.e. the Church itself. (Cf. Swete, <i>Ap</i>)., in l.; DB, iv, 991; Thayer, see word; Cremer, 18; MM, <i>VGT</i>, see word)<BR /> (AS)
G0033	G0033 = a Form of	G0071	ἄγε	age	G:V	to lead	 <b>ἄγε</b>, prop. imperat. of ἄγω, <BR /> <b>come!</b> used as <i>adv.</i> and addressed, like φέρε, <b>to one or more persons</b>: <ref='Jas.4.13; 5.1'>Jas.4:13, 5:1</ref>.†<BR /> (AS)
G0034	G0034 =	G0034	ἀγέλη	agelē	G:N-F	herd	 <b>ἀγέλη</b>, -ης, ἡ <BR /> (ἄγω), [in LXX chiefly for עֵ֫דֶר ;] <BR /><b>a herd</b>: <ref='Mat.8.30-32'>Mat.8:30-32</ref>, <ref='Mrk.5.11, 13'>Mrk.5:11, 13</ref>, <ref='Luk.8.32,33'>Luk.8:32,33</ref>.†<BR /> (AS)
G0035	G0035 =	G0035	ἀγενεαλόγητος	agenealogētos	G:A	without genealogy	 <b>ἀγενεαλόγητος</b>, -ον <BR /> (γενεαλογέω), <BR /><b>without genealogy</b>, i.e. without recorded pedigree (cf. <ref='Neh.7.64'>Neh.7:64</ref>): <ref='Heb.7.3'>Heb.7:3</ref> (Cremer, 152; MM, <i>VGT</i>, see word).†<BR /> (AS)
G0036	G0036 =	G0036	ἀγενής	agenēs	G:A	lowly	 <b>ἀγενής</b>, -ές <BR /> (γένος), <BR /> __1. <b>unborn</b> (Plat.); <BR /> __2. <b>of no family, ignoble, base</b> (opposite to ἀγαθός, Soph., Fr., 105): opposite to εὐγενής, <ref='1Co.1.28'>1Co.1:28</ref> (for exx. from π., see MM, <i>VGT</i>, see word). <BR /> † (AS)
